Monomer A,Monomer B,IP vs SHE (eV),EA vs SHE (eV),Optical Gap (eV),Oscillator Strength (a.u.)
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,1.1603,-1.7087,3.2928,9.6414
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C(C=C1Br)C#N)Br,1.3043,-1.7751,3.3353,6.1863
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC2=C(C=CC3=C2C4=C1C=CC(=C4C=C3)Br)Br,0.7123,-1.7076,2.7981,7.2174
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(N=CC(=N1)Br)Br,1.3437,-1.2491,2.9341,7.9082
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1(=C(C2=NSN=C2C(=C1F)Br)Br)F,1.2986,-0.5786,2.714,6.6167
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC2=C(C=C1Br)NC3=C2C=CC(=C3)Br,0.8451,-2.0033,3.3336,9.0579
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C(C=C1Br)F)Br,1.2263,-1.8121,3.2741,7.1101
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,N#CC(C#N)=c2c1cc(Br)ccc1c3ccc(Br)cc23,1.1484,-0.6959,3.1007,0.6652
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1C2=C(C=CC(=C2)Br)C3=C1C=C(C=C3)Br,0.9207,-1.8959,3.2325,9.805
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1(=C(C(=C(C(=C1Br)F)F)Br)F)F,1.5372,-1.577,3.3557,7.1281
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C2C=C(SC2=CC3=C1SC(=C3)Br)Br,0.5387,-1.5677,2.6978,11.1248
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC=C2C(=C1)C(=C3C=CC=CC3=C2Br)Br,0.7069,-1.7591,2.4929,2.4317
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C=C1Br)Br)C=O,1.3993,-1.7961,3.3208,3.5275
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC=C2C(=C1)C3=C(C=CC(=C3)Br)C4=C2C=C(C=C4)Br,1.0388,-1.8513,3.3421,9.826
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC2=CC(=CC3=C2C4=C(C=C3)C=C(C=C41)Br)Br,0.8779,-1.9389,2.9766,5.7734
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=C(C(=C1F)Br)F)Br)F,1.534,-1.8185,3.4619,4.1029
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=CC(=C1Br)C=O)Br)C=O,1.5749,-1.1029,3.195,2.424
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C(C(=C1[N+](=O)[O-])Br)F)Br,1.696,-1.0155,3.2596,3.3077
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC=C2C(=C1)C(=CC=C2Br)Br,1.0074,-1.9073,3.1967,5.2073
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=NC(=C1)Br)Br,1.3644,-1.6615,3.184,4.1925
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C(C=C1Br)C(F)(F)F)Br,1.3802,-1.8835,3.4925,6.35
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C(C=C1Br)CCl)Br,1.3226,-1.9051,3.4551,6.1286
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC(=O)NC1=C(C=CC(=C1)Br)Br,1.1628,-1.879,3.3013,5.1034
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CCC1=C(C=CC=C1Br)Br,1.476,-2.1273,3.4976,1.9601
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CCOC(=O)C1=CC(=C(C(=C1)Br)N)Br,0.9098,-2.0601,3.1288,2.4046
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=CC(=C1Br)O)Br)C(=O)O,1.3794,-1.7771,3.4254,5.3774
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=CC(=C1Br)O)Br)C#N,1.2451,-1.8446,3.4127,5.8714
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C(C=C1Br)Br)CC#N,1.3741,-2.0218,3.4143,3.782
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC(=O)C1=CC(=C(C(=C1)Br)N)Br,0.8876,-2.1183,3.2027,2.3162
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=C(C(=C1Br)F)[N+](=O)[O-])Br)F,1.6259,-1.1506,3.1934,2.4373
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C(=C1Br)C=O)Br)F,1.5293,-1.5916,3.439,2.7623
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C(=C1Br)O)Br)CC(=O)O,1.1487,-1.9785,3.3243,3.8358
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=CC(=C1Br)[N+](=O)[O-])Br)N,1.0838,-1.4986,2.9579,0.5404
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC(=O)NC1=CC(=C(C=C1Br)[N+](=O)[O-])Br,1.4861,-1.1916,3.377,0.6965
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=C(C(=C(C=C1Br)Br)O)[N+](=O)[O-],1.3144,-1.3446,3.3778,2.1394
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C(=C1Br)CO)Br)F,1.5425,-2.041,3.4815,3.417
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C(=C1Br)C#N)F)Br,1.5081,-1.6551,3.3455,4.4559
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,COc1c(Br)cc(N(=O)=O)c(C)c1Br,1.5733,-1.2794,3.4441,0.7303
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,COC1=C(C=C(C(=C1)N)Br)Br,0.5199,-2.1093,3.116,3.5157
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,COC1=CC(=C(C(=C1)Br)O)Br,0.8631,-1.9534,3.1423,3.4935
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC(=O)C1=CC(=CC(=C1NC(=O)C)Br)Br,1.394,-1.7741,3.32,0.9349
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC=C(C=C1)NCC(CN2C3=C(C=C(C=C3)Br)C4=C2C=CC(=C4)Br)O,0.6613,-2.0261,3.235,4.8477
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=C(N(C(=N1)Br)C)Br,0.7489,-1.84,2.9052,6.1915
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(N=C1Br)Br)Cl,1.4493,-1.577,3.1041,4.4852
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=NN=C1Br)Br,1.5818,-1.4874,3.269,4.9489
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=C(C=CN=C1Br)Br,1.5331,-1.899,3.3888,4.3355
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C2C(=C1Br)N=C(S2)Cl)Br,1.165,-1.6506,3.1432,6.9516
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=NC2=C(C=NN21)Br)Br,0.8117,-1.9228,2.7412,0.708
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(N=C(C(=N1)Br)C=O)Br,1.5695,-1.0677,3.0922,1.2647
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=C(N=C(C(=N1)N)Br)Br,0.8822,-1.7376,2.9741,3.7383
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C2=NC=C(N2N=C1Cl)Br)Br,1.1632,-1.3078,2.8601,0.6493
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CN2C=C(C=C(C2=N1)Br)Br,0.9538,-1.8654,2.9962,1.9733
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CN2C(=NC(=N2)Br)C=C1Br,1.414,-1.7301,3.337,7.3905
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=C(N=C1Br)Br)[N+](=O)[O-])N,1.5093,-1.1557,2.8355,0.523
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CN=CC2=C1C(=CC(=N2)Br)Br,1.4883,-1.377,3.348,3.821
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC(=O)C1=NC(=CN=C1Br)Br,1.5069,-1.1489,3.014,0.6845
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC2=NC(=NN2C=C1Br)Br,1.2912,-1.7145,3.2868,7.631
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=C(C(=NC=C1Br)Br)[N+](=O)[O-],1.5875,-1.1423,3.2189,0.5188
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC=C(C=C1)C2=NC3=C(C=C(C=C3C(=C2)C(=O)O)Br)Br,1.3723,-1.1948,3.1406,1.1409
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1COC2=CC(=CC(=C2C1=O)Br)Br,1.4885,-1.5688,3.0633,0.7041
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1COC2=CC(=CC(=C2C1N)Br)Br,1.1792,-2.0412,3.3744,3.711
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=CN=C1Br)N)Br,0.6384,-1.9832,3.0701,3.4897
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CN1C(=C(N=C1Br)C#N)Br,1.0754,-1.7649,3.0862,5.8806
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CN=C2C=C(C=NC2=C1Br)Br,1.5048,-1.3735,3.2843,4.3093
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1(=C(N=C(N1)Br)Br)C(F)(F)F,1.0907,-1.818,3.0089,5.4566
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CN1C(=C(N=C1Br)F)Br,0.855,-1.7617,2.8754,6.6
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C2C(=C1Br)C=NN2)Br,0.8556,-1.8665,2.9953,6.3663
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C2=NNC(=C2C=N1)Br)Br,0.9845,-1.564,2.7709,6.7994
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(N=CC2=C(NN=C21)Br)Br,1.0116,-1.67,2.9936,7.04
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(N=CC2=NNC(=C21)Br)Br,0.8343,-1.6408,2.7998,5.4096
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=NC2=NNC(=C21)Br)Br,0.8956,-1.7349,2.844,3.3473
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,COC1=NC=C(C2=NNC(=C21)Br)Br,0.9509,-1.5965,2.8635,6.6317
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(N2C=C(N=C(C2=N1)Br)Br)Cl,1.283,-1.3944,2.9222,3.4001
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,COC(=O)C1=NC(=C(C(=C1)Br)N)Br,1.1029,-1.76,3.0404,2.8765
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CCOC(=O)C1=C(N(N=C1Br)C)Br,1.625,-1.677,3.3871,5.2453
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CN2C(=N1)C(=CC(=N2)Br)Br,1.4257,-1.297,2.7692,0.5432
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CCC1=C(C=C(C=N1)Br)Br,1.3908,-1.9796,3.4985,4.6106
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,Cc3ccc(c2ccc1cc(Br)cc(Br)c1n2)cc3,1.1868,-1.566,3.1738,0.8271
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,Oc1ccccc1c3ccc2cc(Br)cc(Br)c2n3,1.1769,-1.5501,3.1934,0.6993
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C2C=NNC2=C1Br)Br,0.8941,-2.0764,3.2792,3.7657
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1(=C(SC(=N1)Br)Br)C(=O)O,1.3151,-1.2437,2.9307,6.2451
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=C(N=C(C=C1)Br)Br,1.3288,-1.7491,3.2605,4.1563
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,COC1=C(C(=CC(=N1)Br)Br)N,0.5704,-1.9218,2.946,2.5378
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1CC2=C(C(=CC(=N2)Br)Br)NC1,0.6041,-1.9344,2.9077,0.7611
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC2=CC(=C(N=C2N=C1)Br)Br,1.5186,-1.4341,3.377,2.0714
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,COC1=C(C=C(C=C1)Br)Br,0.9671,-2.0052,3.2563,3.6189
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C(C=C1Br)Br)N,0.5006,-2.1284,3.1687,2.1242
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC2=C(C=C1Br)C3=C(N2)C=CC(=C3)Br,0.6562,-2.0788,3.2868,0.5282
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=CC(=CC(=C1Br)C)Br,1.3402,-2.0693,3.49,5.7167
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=CC(=C1Br)F)Br)F,1.3298,-1.7245,3.2614,7.0402
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=C(C(=C1Br)F)C(=O)O)N)Br,0.8525,-2.0112,2.9562,1.9875
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=C(C(=C1Br)N)Br)Cl)F,0.8874,-2.051,3.1117,2.5286
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C(=C1Br)Cl)Br)F,1.6084,-1.9133,3.4178,3.748
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C(=C1Br)N)Br)F,0.7505,-2.1331,3.0922,2.1868
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C=C1Br)Br)F,1.3481,-1.9834,3.4721,3.8982
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C(C=C1Br)Br)F,1.333,-2.0093,3.3948,4.1407
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1(=C(C(=C(C(=C1F)Br)F)Br)F)F,1.5999,-1.7656,3.4101,3.1798
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C(=C1Br)N)C(F)(F)F)Br,0.7619,-2.131,3.1695,1.9032
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C(=C1Br)N)Br)C(F)(F)F,0.7787,-2.1593,3.0998,2.6289
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C(=C1Br)Cl)F)Br,1.4578,-1.8538,3.4441,3.1692
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C(C=C1Br)Br)N=C=S,1.1813,-1.7561,3.3064,1.4375
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C(C=C1Br)N=C=S)Br,1.2321,-1.7664,3.2469,3.3532
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C(C=C1Br)C(F)(F)F)Br,1.3828,-1.8781,3.4883,6.73
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C(=C1Br)N)F)Br,0.6933,-2.1071,3.218,1.4567
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,COC1=C(C=C(C=C1Br)F)Br,1.3624,-1.8986,3.2511,3.7734
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C(=C1Br)O)Br)F,1.1789,-1.9906,3.2996,3.0746
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,COC1=C(C=C(C=C1Br)C(=NO)N)Br,1.1395,-1.8999,3.3226,4.2283
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C(=C1Br)N)C#N)Br,0.6902,-2.1751,3.0658,2.9151
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=CC(=C(C(=C1Cl)Br)N)Br,0.825,-2.0519,3.2154,2.355
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C(=C1Br)O)Br)C(=O)O,1.3482,-1.9536,3.2469,3.325
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,COC1=C(C=C(C=C1Br)C(=O)O)Br,1.5118,-1.7884,3.2826,4.0981
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=CC(=C(C=C1Br)Br)OC,1.0576,-2.0185,3.3123,3.0688
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=C(C=C(C=C1Br)O)Br,1.1857,-2.0935,3.5138,3.1508
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=CC(=CC(=C1Br)C)Br,1.3599,-2.0882,3.4194,4.4582
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=CC(=C(C=C1Br)C)Br,1.2587,-2.0253,3.5605,5.9155
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=CC(=C(C(=C1)Br)[N+]#[C-])Br,1.49,-1.8827,3.3395,4.8522
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,Cc1cc(Br)cc(Br)c1[N+]#[C-],1.4117,-1.81,3.4186,4.5463
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,[C-]#[N+]C1=C(C=C(C=C1Br)F)Br,1.5686,-1.8412,3.3948,5.2324
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC(C)C1=CC(=C(C(=C1)Br)N)Br,0.6651,-2.1488,3.0446,1.755
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C=C1Br)Br)CBr,1.2642,-2.0113,3.4092,4.8499
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC(C)(C)C1=CC(=C(C(=C1)Br)N)Br,0.6888,-2.1204,3.0846,2.7247
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C=C1Br)Br)OC(F)(F)F,1.4075,-1.8803,3.3183,4.1897
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=C(C(=C1Br)F)C#N)N)Br,0.7386,-2.112,2.9775,2.0225
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C=C1Br)Br)C#N,1.3375,-1.9999,3.3838,4.9582
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=C(C(=C1F)Br)F)Br)N,0.7298,-2.0273,3.1831,2.5791
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C(C(=C1F)Br)F)Br,1.4677,-1.884,3.4314,4.7386
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=C(C=CC(=C1)Br)Br,1.1843,-1.952,3.4007,6.8299
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C(=C1Br)N)OC(F)(F)F)Br,0.7577,-2.0024,3.116,2.487
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=C(C(=CC(=C1Cl)Br)Br)N,0.7496,-2.0674,3.2078,1.3188
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C(=C1Br)N=C=S)OC(F)(F)F)Br,1.3507,-1.6197,3.229,0.5701
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=CC(=CC(=C1N)Br)Br,0.5569,-2.1492,3.1262,2.5619
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=CC(=C(C(=C1C)Br)N)Br,0.6042,-2.1964,3.1899,2.2695
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=C(C=C(C(=C1Br)O)C=O)Br,1.3291,-1.9012,3.2571,0.7342
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,COC1=CC(=C(C(=C1O)C=O)Br)Br,1.1184,-1.691,3.3294,0.7006
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C(=C1Br)O)Br)C(F)(F)F,1.2836,-1.9573,3.3344,4.5304
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C(C=C1Br)C=O)Br,1.3536,-1.6427,3.3948,5.0319
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C=C1Br)Br)CO,1.2775,-2.0033,3.2954,4.2993
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CCC1=CC(=CC(=C1Br)CC)Br,1.4093,-2.0739,3.3761,4.5734
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C(=C1Br)O)C#N)Br,1.117,-2.026,3.2902,3.5907
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=CC(=C1Br)C(=O)O)Br)C(=O)O,1.7739,-1.4775,3.3566,2.2857
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=CC(=C(C(=C1C(=O)O)Br)OC(F)F)Br,1.7815,-1.4966,3.2911,3.2423
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C=C1Br)Br)C(F)(F)F,1.4032,-1.9408,3.3659,4.0068
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C=C(C(=C1Br)Cl)C(F)(F)F)Br,1.4952,-1.8171,3.4288,4.3782
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=C(C(=C1Br)Cl)C#N)N)Br,0.8865,-2.0051,3.1288,1.1817
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,C1=C(C(=C(C(=C1Br)C(F)(F)F)Br)N)F,0.9169,-2.0531,3.2563,1.1678
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=C(C(=CC(=C1F)Br)Br)N,0.6628,-2.0986,3.2069,2.1517
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=CC(=CC(=C1F)Br)Br,1.3283,-1.9665,3.4424,4.9605
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=C(C=CC(=C1F)Br)Br,1.3086,-1.8836,3.4194,6.7464
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=C(C=C(C=C1F)Br)Br,1.345,-2.0056,3.4993,4.8567
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=C(C(=C(C=C1F)Br)N)Br,0.7655,-2.1299,3.1143,2.5535
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=CC(=C(C=C1Br)Cl)Br,1.3658,-1.8896,3.4943,6.1198
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=CC(=C(C(=C1N)Br)Cl)Br,0.8353,-2.0316,3.3999,2.3471
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=CC(=C(C(=C1)Br)Cl)Br,1.5433,-1.9305,3.4739,4.0676
C1=CC2=C(C=C1Br)S(=O)(=O)C3=C2C=CC(=C3)Br,CC1=C(C(=CC(=C1[N+](=O)[O-])Br)Br)N,0.9001,-1.4282,3.3072,0.5652
